pathToTransformations, sourceFilesTransformed, totalTransformations, componentsMemoized, stateChangedToRef, totalTime(ms)
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 434
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 390
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 376
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 391
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 362
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 434
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 421
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 404
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 194, 39, 17, 447
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 178, 39, 17, 421
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 178, 39, 17, 385
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 178, 39, 17, 379
../../rendering-optimization/transformation-source/evaluation/gorkavillara___16-feb-react-grupo-1/, 7, 20, 6, 1, 97
../../rendering-optimization/transformation-source/evaluation/TimurMP___26-react-star-wars-hooks/, 9, 18, 9, 0, 133
../../rendering-optimization/transformation-source/evaluation/zackarydevove___30days-30projects/, 36, 178, 39, 17, 358
../../rendering-optimization/transformation-source/evaluation/VLK2021___age-react/, 5, 10, 5, 0, 115
../../rendering-optimization/transformation-source/evaluation/karimbaggari___AI-chat-powered-by-open-ai-api-react-node/, 1, 9, 1, 1, 65
../../rendering-optimization/transformation-source/evaluation/eric-prog___API-Search/, 3, 6, 3, 0, 57
../../rendering-optimization/transformation-source/evaluation/Contimp___Calculadora/, 3, 12, 3, 0, 60
../../rendering-optimization/transformation-source/evaluation/Nishant-Bhosale___CashTrackr/, 3, 11, 3, 0, 76
../../rendering-optimization/transformation-source/evaluation/JeanSantosReyes___CRUD-Context-React/, 12, 28, 11, 0, 125
../../rendering-optimization/transformation-source/evaluation/SolarSnowLight___hackaton-euraz-2023/, 22, 101, 59, 3, 291
../../rendering-optimization/transformation-source/evaluation/junesdream___hacker-news-app-2023/, 2, 14, 2, 2, 84
../../rendering-optimization/transformation-source/evaluation/macleann___honey-rae-repairs/, 24, 143, 25, 10, 204
../../rendering-optimization/transformation-source/evaluation/vtrev05___hooksMixed-1/, 2, 12, 2, 1, 79
../../rendering-optimization/transformation-source/evaluation/ruthhegade___healthCare/, 40, 134, 39, 16, 564
