"col0"
"src/renderer/App.tsx:<16,37>--<16,51>~~~add_dot_current"
"src/renderer/App.tsx:<18,34>--<18,45>~~~add_dot_current"
"src/renderer/Component/NBTEditorTree.tsx:<162,24>--<162,36>~~~add_dot_current"
