"col0"
"src/Settings/CodeGuard.tsx:<53,42>--<53,58>~~~add_dot_current"
"src/Settings/CodeGuard.tsx:<55,50>--<55,66>~~~add_dot_current"
"src/Settings/CodeGuard.tsx:<56,27>--<56,43>~~~add_dot_current"
