"col0"
"src/renderer/hooks/useLocal.js:<22,54>--<22,58>~~~add_dot_current"
"src/renderer/hooks/useLocal.js:<23,20>--<23,24>~~~add_dot_current"
"src/renderer/hooks/useLocal.js:<25,11>--<25,15>~~~add_dot_current"
