"col0"
"src/components/Modal.js:<69,9>--<69,31>~~~onChange_to_ref???{varName:inputs}"
"src/components/Modal.js:<79,11>--<79,33>~~~onChange_to_ref???{varName:inputs}"
"src/components/Modal.js:<91,11>--<91,33>~~~onChange_to_ref???{varName:inputs}"
