"col0"
"src/components/PowerBlocksMenu.tsx:<69,44>--<69,54>~~~add_dot_current_value"
"src/components/PowerBlocksMenu.tsx:<73,7>--<73,17>~~~add_dot_current_value"
"src/components/PowerBlocksMenu.tsx:<104,16>--<104,26>~~~add_dot_current_value"
