"col0"
"popup/pages/feedback.js:<15,13>--<15,17>~~~add_dot_current_value"
"popup/pages/feedback.js:<24,53>--<24,57>~~~add_dot_current_value"
"popup/pages/feedback.js:<67,32>--<67,36>~~~add_dot_current_value"
